B,5.0,6.0,2.0,15.482
B,5.0,7.0,2.0,15.996
B,5.0,8.0,2.0,16.329
B,5.0,9.0,2.0,16.557
B,5.0,10.0,2.0,16.721
B,5.0,11.0,2.0,16.842
B,5.0,12.0,2.0,16.934
B,5.0,13.0,2.0,17.005
B,5.0,14.0,2.0,17.062
B,5.0,4.0,3.0,3.387
B,5.0,5.0,3.0,4.954
B,5.0,6.0,3.0,5.806
B,5.0,7.0,3.0,6.319
B,5.0,8.0,3.0,6.652
B,5.0,9.0,3.0,6.881
B,5.0,10.0,3.0,7.044
B,5.0,11.0,3.0,7.165
B,5.0,12.0,3.0,7.257
B,5.0,13.0,3.0,7.329
B,5.0,14.0,3.0,7.385
B,5.0,5.0,4.0,1.567
B,5.0,6.0,4.0,2.419
B,5.0,7.0,4.0,2.932
B,5.0,8.0,4.0,3.266
B,5.0,9.0,4.0,3.494
B,5.0,10.0,4.0,3.657
B,5.0,11.0,4.0,3.778
B,5.0,12.0,4.0,3.87
B,5.0,13.0,4.0,3.942
B,5.0,14.0,4.0,3.999
B,5.0,6.0,5.0,0.851
B,5.0,7.0,5.0,1.365
B,5.0,8.0,5.0,1.698
B,5.0,9.0,5.0,1.927
B,5.0,10.0,5.0,2.09
B,5.0,11.0,5.0,2.211
B,5.0,12.0,5.0,2.303
B,5.0,13.0,5.0,2.374
B,5.0,14.0,5.0,2.431
B,5.0,7.0,6.0,0.513
B,5.0,8.0,6.0,0.847
B,5.0,9.0,6.0,1.075
B,5.0,10.0,6.0,1.238
B,5.0,11.0,6.0,1.359
B,5.0,12.0,6.0,1.451
B,5.0,13.0,6.0,1.523
B,5.0,14.0,6.0,1.58
B,5.0,8.0,7.0,0.333
B,5.0,9.0,7.0,0.562
B,5.0,10.0,7.0,0.725
B,5.0,11.0,7.0,0.846
B,5.0,12.0,7.0,0.938
B,5.0,13.0,7.0,1.01
B,5.0,14.0,7.0,1.066
B,5.0,9.0,8.0,0.228
B,5.0,10.0,8.0,0.392
B,5.0,11.0,8.0,0.513
B,5.0,12.0,8.0,0.605
B,5.0,13.0,8.0,0.676
B,5.0,14.0,8.0,0.733
B,5.0,10.0,9.0,0.163
B,5.0,11.0,9.0,0.284
B,5.0,12.0,9.0,0.376
B,5.0,13.0,9.0,0.448
B,5.0,14.0,9.0,0.505
B,5.0,11.0,10.0,0.121
B,5.0,12.0,10.0,0.213
B,5.0,13.0,10.0,0.284
B,5.0,14.0,10.0,0.341
B,5.0,12.0,11.0,0.092
B,5.0,13.0,11.0,0.164
B,5.0,14.0,11.0,0.22
B,5.0,13.0,12.0,0.072
B,5.0,14.0,12.0,0.128
B,5.0,14.0,13.0,0.057
C,6.0,2.0,1.0,75.36
C,6.0,3.0,1.0,89.31
C,6.0,4.0,1.0,94.19
C,6.0,5.0,1.0,96.45
C,6.0,6.0,1.0,97.68
C,6.0,7.0,1.0,98.42
C,6.0,8.0,1.0,98.9
C,6.0,9.0,1.0,99.23
C,6.0,10.0,1.0,99.46
C,6.0,11.0,1.0,99.64
C,6.0,12.0,1.0,99.77
C,6.0,13.0,1.0,99.87
C,6.0,14.0,1.0,99.96
C,6.0,3.0,2.0,13.95
C,6.0,4.0,2.0,18.83
C,6.0,5.0,2.0,21.09
C,6.0,6.0,2.0,22.32
C,6.0,7.0,2.0,23.06
C,6.0,8.0,2.0,23.54
C,6.0,9.0,2.0,23.87
C,6.0,10.0,2.0,24.1
C,6.0,11.0,2.0,24.28
C,6.0,12.0,2.0,24.41
C,6.0,13.0,2.0,24.51
C,6.0,14.0,2.0,24.6
C,6.0,4.0,3.0,4.88
C,6.0,5.0,3.0,7.14
C,6.0,6.0,3.0,8.37
C,6.0,7.0,3.0,9.11
C,6.0,8.0,3.0,9.59
C,6.0,9.0,3.0,9.92
C,6.0,10.0,3.0,10.15
C,6.0,11.0,3.0,10.33
C,6.0,12.0,3.0,10.46
C,6.0,13.0,3.0,10.56
C,6.0,14.0,3.0,10.65
C,6.0,5.0,4.0,2.26
C,6.0,6.0,4.0,3.49
C,6.0,7.0,4.0,4.23
C,6.0,8.0,4.0,4.71
C,6.0,9.0,4.0,5.04
C,6.0,10.0,4.0,5.27
C,6.0,11.0,4.0,5.45
C,6.0,12.0,4.0,5.58
C,6.0,13.0,4.0,5.68
C,6.0,14.0,4.0,5.76
C,6.0,6.0,5.0,1.23
C,6.0,7.0,5.0,1.97
C,6.0,8.0,5.0,2.45
C,6.0,9.0,5.0,2.78
C,6.0,10.0,5.0,3.01
C,6.0,11.0,5.0,3.19
C,6.0,12.0,5.0,3.32
C,6.0,13.0,5.0,3.42
C,6.0,14.0,5.0,3.5
C,6.0,7.0,6.0,0.74
C,6.0,8.0,6.0,1.22
C,6.0,9.0,6.0,1.55
C,6.0,10.0,6.0,1.79
C,6.0,11.0,6.0,1.96
C,6.0,12.0,6.0,2.09
C,6.0,13.0,6.0,2.2
C,6.0,14.0,6.0,2.28
C,6.0,8.0,7.0,0.48
C,6.0,9.0,7.0,0.81
C,6.0,10.0,7.0,1.05
C,6.0,11.0,7.0,1.22
C,6.0,12.0,7.0,1.35
C,6.0,13.0,7.0,1.46
C,6.0,14.0,7.0,1.54
C,6.0,9.0,8.0,0.33
C,6.0,10.0,8.0,0.56
C,6.0,11.0,8.0,0.74
C,6.0,12.0,8.0,0.87
C,6.0,13.0,8.0,0.97
C,6.0,14.0,8.0,1.06
C,6.0,10.0,9.0,0.24
C,6.0,11.0,9.0,0.41
C,6.0,12.0,9.0,0.54
C,6.0,13.0,9.0,0.65
C,6.0,14.0,9.0,0.73
C,6.0,11.0,10.0,0.17
C,6.0,12.0,10.0,0.31
C,6.0,13.0,10.0,0.41
C,6.0,14.0,10.0,0.49
C,6.0,12.0,11.0,0.13
C,6.0,13.0,11.0,0.24
C,6.0,14.0,11.0,0.32
C,6.0,13.0,12.0,0.1
C,6.0,14.0,12.0,0.19
