#MJD GSC_ch1 GSC_ch1_e GSC_ch2 GSC_ch2_e GSC_ch3 GSC_ch3_e BAT_ch1 BAT_ch1_e	BAT_ch2 BAT_ch2_e BAT_ch3 BAT_ch3_e BAT_ch4 BAT_ch4_e HR HR_e
60186.5  0.033 0.007  0.030 0.005  0.013 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60187.5  0.056 0.008  0.066 0.006  0.014 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60188.5  0.080 0.010  0.053 0.006  0.025 0.007 		 0.000775 0.000246  0.000502 0.000197  0.000145 0.000134 -0.000250 0.000089 		   0.001801    0.001683
60189.5  0.070 0.009  0.059 0.006  0.035 0.007 		 0.000726 0.000264  0.000328 0.000212 -0.000021 0.000141  0.000114 0.000094 		  -0.000298   -0.002028
60190.5  0.056 0.008  0.051 0.006  0.026 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60191.5  0.041 0.008  0.050 0.006  0.026 0.007 		 0.000651 0.000265  0.000809 0.000204  0.000107 0.000138 -0.000038 0.000087 		   0.002644    0.003425
60192.5  0.031 0.008  0.047 0.007  0.025 0.008 		 0.001097 0.000515  0.000120 0.000405  0.000266 0.000271  0.000155 0.000194 		   0.008521    0.008949
60193.5  0.048 0.012  0.045 0.009  0.023 0.012 		 0.001350 0.000209  0.000897 0.000164 -0.000014 0.000115 -0.000064 0.000082 		  -0.000279   -0.002368
60194.5  0.033 0.014  0.031 0.011 -0.006 0.013 		-0.000006 0.000228 -0.000136 0.000187  0.000116 0.000127  0.000193 0.000092 		   0.003557    0.004194
60195.5  0.046 0.011  0.047 0.008  0.028 0.011 		 0.001017 0.000275  0.000428 0.000215 -0.000344 0.000149 -0.000124 0.000111 		  -0.007430   -0.003709
60196.5  0.023 0.012  0.038 0.010  0.027 0.012 		 0.000344 0.000234  0.000614 0.000186  0.000059 0.000128 -0.000169 0.000086 		   0.002547    0.005650
60197.5  0.020 0.020  0.005 0.012 -0.051 0.014 		 0.000774 0.000240  0.000593 0.000208  0.000316 0.000146  0.000035 0.000107 		   0.015428    0.016487
60198.5  0.069 0.031  0.018 0.018  0.061 0.026 		 0.000499 0.000289  0.000539 0.000243  0.000199 0.000170  0.000158 0.000124 		   0.002874    0.002764
60199.5  0.046 0.016  0.069 0.012  0.060 0.014 		-0.001512 0.000278 -0.000519 0.000237 -0.000145 0.000167  0.000120 0.000118 		  -0.003137   -0.003767
60200.5  0.040 0.015  0.018 0.011  0.012 0.012 		 0.000996 0.000269  0.000726 0.000228  0.000295 0.000167 -0.000220 0.000121 		   0.007420    0.005077
60201.5  0.031 0.010  0.032 0.008  0.013 0.009 		 0.000055 0.000238  0.000010 0.000192 -0.000260 0.000137  0.000130 0.000099 		  -0.008266   -0.005076
60202.5  0.048 0.012  0.050 0.010  0.019 0.010 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60203.5  0.028 0.010  0.031 0.007  0.013 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60204.5  0.039 0.009  0.036 0.006  0.020 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60205.5  0.038 0.008  0.025 0.006  0.015 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60206.5  0.031 0.010  0.018 0.007  0.005 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60207.5  0.032 0.016  0.020 0.011  0.012 0.014 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60208.5  0.043 0.009  0.014 0.006  0.010 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60209.5  0.014 0.007  0.025 0.006  0.016 0.007 		 0.000346 0.002192  0.001867 0.001571  0.002057 0.000993 -0.000093 0.000459 		   0.146278    0.104971
60210.5  0.036 0.009  0.018 0.006  0.003 0.007 		 0.000188 0.000338 -0.000392 0.000286 -0.000570 0.000210 -0.000087 0.000133 		  -0.015850   -0.007039
60211.5  0.033 0.008  0.006 0.005  0.014 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60212.5  0.017 0.008  0.006 0.006  0.006 0.007 		-0.000293 0.000349 -0.000266 0.000281 -0.000156 0.000202 -0.000164 0.000114 		  -0.009107   -0.012561
60213.5  0.023 0.007  0.012 0.005  0.006 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60214.5  0.045 0.008  0.024 0.006  0.006 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60215.5  0.042 0.010  0.019 0.007  0.003 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60216.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60217.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60218.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.001092 0.000266 -0.000685 0.000230 -0.000092 0.000170 -0.000085 0.000124 		-100.000000    0.000000
60219.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000687 0.000168  0.000444 0.000140  0.000032 0.000104  0.000087 0.000075 		-100.000000    0.000000
60220.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000511 0.000481  0.000099 0.000351  0.000184 0.000249  0.000022 0.000154 		-100.000000    0.000000
60221.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000688 0.000158 -0.000161 0.000130 -0.000099 0.000100 -0.000010 0.000074 		-100.000000    0.000000
60222.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000253 0.000433  0.000215 0.000314 -0.000153 0.000229 -0.000097 0.000129 		-100.000000    0.000000
60223.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000267 0.000218 -0.000264 0.000189 -0.000097 0.000143  0.000034 0.000107 		-100.000000    0.000000
60224.5 -0.013 0.009 -0.001 0.007  0.003 0.010 		-0.000169 0.000245  0.000027 0.000202  0.000080 0.000151  0.000169 0.000101 		  -0.005918   -0.011856
60225.5 -0.003 0.005  0.016 0.005  0.016 0.006 		-0.000603 0.000285 -0.000136 0.000234 -0.000246 0.000173 -0.000105 0.000117 		   0.078323    0.137335
60226.5  0.009 0.005  0.005 0.004  0.006 0.006 		 0.000010 0.000325  0.000021 0.000264 -0.000172 0.000192 -0.000114 0.000113 		  -0.019859   -0.025370
60227.5  0.006 0.006  0.016 0.005  0.002 0.006 		 0.000080 0.000152 -0.000184 0.000119  0.000134 0.000089  0.000052 0.000068 		   0.022729    0.026145
60228.5  0.020 0.006  0.014 0.005  0.011 0.006 		 0.001808 0.000653 -0.000034 0.000479 -0.000354 0.000337 -0.000006 0.000163 		  -0.017779   -0.017704
60229.5  0.018 0.006  0.017 0.005  0.003 0.006 		-0.000188 0.000238  0.000222 0.000199 -0.000183 0.000146  0.000301 0.000104 		  -0.010427   -0.009159
60230.5  0.013 0.006  0.019 0.005  0.001 0.005 		 0.000283 0.000390  0.000099 0.000277  0.000096 0.000211  0.000086 0.000125 		   0.007671    0.017238
60231.5  0.018 0.007  0.010 0.005 -0.007 0.006 		 0.000195 0.000127 -0.000146 0.000107  0.000044 0.000080 -0.000040 0.000062 		   0.002451    0.004580
60232.5  0.019 0.009  0.000 0.007 -0.003 0.010 		 0.000403 0.000264 -0.000103 0.000210  0.000093 0.000156  0.000037 0.000105 		   0.004895    0.008504
60233.5  0.009 0.006  0.011 0.005  0.013 0.006 		-0.000266 0.000326  0.000012 0.000247 -0.000464 0.000182 -0.000059 0.000134 		  -0.053308   -0.044110
60234.5  0.007 0.006  0.007 0.005 -0.002 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60235.5  0.014 0.007  0.005 0.005  0.000 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60236.5  0.010 0.006  0.010 0.005 -0.000 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60237.5  0.019 0.007  0.020 0.005  0.013 0.006 		 0.000657 0.000763  0.000144 0.000583 -0.001021 0.000458 -0.000497 0.000286 		  -0.052639   -0.029687
60238.5  0.028 0.007  0.026 0.005  0.008 0.006 		-0.000128 0.000192  0.000088 0.000157 -0.000103 0.000119 -0.000220 0.000082 		  -0.003736   -0.004415
60239.5  0.027 0.007  0.018 0.006  0.002 0.006 		 0.000132 0.000558  0.000415 0.000448 -0.000400 0.000332 -0.000273 0.000286 		  -0.014697   -0.012816
60240.5  0.035 0.007  0.019 0.005  0.012 0.007 		 0.000642 0.000314  0.000079 0.000253  0.000195 0.000183  0.000009 0.000103 		   0.005604    0.005384
60241.5  0.030 0.007  0.023 0.005  0.021 0.007 		 0.000548 0.000234 -0.000095 0.000190 -0.000046 0.000147 -0.000432 0.000110 		  -0.001519   -0.004840
60242.5  0.036 0.006  0.025 0.005  0.008 0.006 		-0.000186 0.000179  0.000214 0.000144  0.000103 0.000109 -0.000013 0.000073 		   0.002840    0.003035
60243.5  0.026 0.006  0.030 0.005  0.020 0.006 		 0.000654 0.000290  0.000271 0.000249  0.000167 0.000193  0.000067 0.000142 		   0.006391    0.007515
60244.5  0.033 0.007  0.017 0.005  0.007 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60245.5  0.023 0.007  0.018 0.005  0.017 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60246.5  0.040 0.011  0.027 0.009  0.017 0.012 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60247.5  0.021 0.007  0.030 0.005  0.016 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60248.5  0.030 0.007  0.017 0.005  0.007 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60249.5  0.023 0.006  0.025 0.005  0.011 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60250.5  0.038 0.006  0.023 0.005  0.020 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60251.5  0.029 0.007  0.022 0.005  0.021 0.006 		-0.000845 0.000367 -0.000384 0.000314  0.000289 0.000232  0.000182 0.000157 		   0.009814    0.008175
60252.5  0.030 0.006  0.026 0.005  0.005 0.005 		 0.001447 0.001030 -0.000275 0.000818 -0.000327 0.000563  0.000176 0.000275 		  -0.010907   -0.018902
60253.5  0.018 0.007  0.028 0.005  0.005 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60254.5  0.036 0.006  0.025 0.005  0.014 0.006 		-0.000884 0.000439  0.000177 0.000345 -0.000106 0.000249  0.000272 0.000157 		  -0.002936   -0.006898
60255.5  0.021 0.006  0.027 0.005  0.008 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60256.5  0.037 0.007  0.026 0.005  0.020 0.006 		-0.000629 0.000471 -0.000102 0.000381  0.000162 0.000274  0.000145 0.000167 		   0.004429    0.007512
60257.5  0.015 0.006  0.025 0.005  0.012 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60258.5  0.027 0.006  0.021 0.005  0.005 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60259.5  0.025 0.007  0.026 0.005  0.014 0.006 		-0.001861 0.001179 -0.000088 0.000899  0.000489 0.000636 -0.000414 0.000316 		   0.019650    0.026155
60260.5  0.036 0.007  0.032 0.005  0.010 0.006 		 0.000269 0.000913 -0.000860 0.000855  0.000529 0.000624  0.000369 0.000471 		   0.014772    0.017656
60261.5  0.028 0.007  0.014 0.005  0.011 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60262.5  0.027 0.007  0.019 0.005  0.003 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60263.5  0.010 0.007  0.019 0.005 -0.002 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60264.5  0.018 0.007  0.034 0.006  0.013 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60265.5  0.019 0.009  0.006 0.007  0.015 0.010 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60266.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60267.5  0.005 0.010  0.013 0.010 -0.017 0.013 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60268.5  0.019 0.012  0.045 0.010  0.019 0.013 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60269.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000461 0.001015  0.000290 0.000899  0.000470 0.000641  0.000026 0.000385 		-100.000000    0.000000
60270.5  0.036 0.017  0.052 0.015  0.025 0.016 		 0.000617 0.000595 -0.000296 0.000561  0.001050 0.000440 -0.000340 0.000298 		   0.029576    0.018583
60271.5  0.029 0.024  0.025 0.016  0.034 0.021 		-0.000392 0.000519 -0.000642 0.000459 -0.000463 0.000353 -0.000075 0.000242 		  -0.015729   -0.017680
60272.5  0.014 0.017  0.023 0.014  0.016 0.017 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60273.5 -0.005 0.015  0.005 0.013  0.040 0.020 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60274.5  0.010 0.013  0.022 0.011  0.001 0.013 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60275.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60276.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60277.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60278.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60279.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60280.5 -0.024 0.047 -0.085 0.027 -0.086 0.030 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60281.5 -0.012 0.011 -0.023 0.008 -0.053 0.010 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60282.5  0.012 0.008 -0.004 0.006 -0.007 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60283.5  0.038 0.008  0.011 0.005 -0.005 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60284.5  0.029 0.007  0.021 0.005  0.020 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60285.5  0.036 0.007  0.029 0.005  0.011 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60286.5  0.038 0.007  0.033 0.005  0.022 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60287.5  0.056 0.008  0.038 0.005  0.002 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60288.5  0.081 0.015  0.062 0.011  0.003 0.010 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60289.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60290.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60291.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60292.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60293.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60294.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60295.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60296.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60297.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60298.5  0.005 0.006  0.033 0.005  0.020 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60299.5  0.018 0.005  0.022 0.004  0.011 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60300.5  0.032 0.007  0.019 0.005  0.003 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60301.5  0.005 0.009  0.009 0.007 -0.016 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60302.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60303.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60304.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60305.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60306.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60307.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60308.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60309.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60310.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60311.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60312.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60313.5  0.019 0.013  0.005 0.011  0.007 0.013 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60314.5  0.016 0.009  0.006 0.007  0.017 0.009 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60315.5  0.021 0.006  0.019 0.005  0.015 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60316.5  0.016 0.006  0.015 0.005  0.008 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60317.5  0.020 0.007  0.020 0.005  0.000 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60318.5  0.001 0.008  0.004 0.007  0.001 0.009 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60319.5  0.029 0.008  0.011 0.006  0.006 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60320.5  0.021 0.007  0.017 0.005  0.003 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60321.5  0.018 0.007  0.020 0.005  0.004 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60322.5  0.023 0.007  0.006 0.005  0.021 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60323.5  0.022 0.007  0.013 0.005  0.009 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60324.5  0.018 0.006  0.018 0.004 -0.000 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60325.5  0.030 0.007  0.013 0.005  0.006 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60326.5  0.035 0.007  0.023 0.005 -0.002 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60327.5  0.020 0.007  0.012 0.005  0.000 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60328.5  0.026 0.007  0.022 0.005 -0.003 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60329.5  0.026 0.007  0.019 0.005  0.009 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60330.5  0.041 0.008  0.028 0.005  0.005 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60331.5  0.027 0.008  0.025 0.006  0.009 0.006 		 0.000466 0.000313 -0.000034 0.000201  0.000045 0.000148 -0.000112 0.000102 		   0.001654    0.005506
60332.5  0.081 0.010  0.063 0.007  0.023 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60333.5  0.081 0.010  0.105 0.008  0.028 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60334.5  0.068 0.009  0.077 0.007  0.017 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60335.5  0.092 0.010  0.087 0.007  0.020 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60336.5  0.063 0.009  0.069 0.007  0.024 0.007 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60337.5  0.080 0.012  0.068 0.009  0.030 0.010 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60338.5  0.007 0.010  0.032 0.009  0.020 0.011 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60339.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60340.5  0.024 0.013  0.052 0.011  0.014 0.013 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60341.5  0.061 0.015  0.071 0.011  0.018 0.013 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60342.5  0.068 0.064  0.085 0.042 -0.002 0.035 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60343.5  0.037 0.015  0.013 0.010  0.000 0.012 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60344.5  0.049 0.013  0.043 0.010  0.040 0.013 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60345.5  0.046 0.014  0.057 0.011  0.006 0.011 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60346.5  0.037 0.012  0.050 0.010  0.028 0.011 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60347.5  0.046 0.012  0.054 0.009  0.045 0.010 		 0.000290 0.000186  0.000068 0.000159 -0.000080 0.000119 -0.000222 0.000089 		  -0.001727   -0.002588
60348.5  0.067 0.011  0.047 0.008  0.004 0.008 		-0.001869 0.000767 -0.000791 0.000569  0.000115 0.000399 -0.000238 0.000193 		   0.001726    0.005992
60349.5  0.040 0.009  0.046 0.007  0.019 0.008 		 0.000011 0.000318  0.000178 0.000273 -0.000300 0.000206 -0.000224 0.000159 		  -0.007467   -0.005414
60350.5  0.025 0.008  0.020 0.006  0.011 0.007 		 0.000672 0.000247  0.000145 0.000205 -0.000221 0.000155 -0.000088 0.000118 		  -0.008858   -0.006887
60351.5  0.055 0.008  0.047 0.006  0.014 0.007 		 0.000000 0.000170  0.000350 0.000140  0.000014 0.000108 -0.000126 0.000083 		   0.000246    0.001947
60352.5  0.067 0.020  0.065 0.015  0.021 0.017 		 0.000641 0.000324  0.000429 0.000285 -0.000363 0.000219 -0.000155 0.000164 		  -0.005454   -0.003684
60353.5  0.048 0.010  0.020 0.007 -0.003 0.007 		 0.001066 0.000254  0.000316 0.000212  0.000148 0.000162 -0.000077 0.000110 		   0.003064    0.003424
60354.5  0.050 0.009  0.030 0.007  0.018 0.007 		 0.000878 0.000298  0.000436 0.000256  0.000303 0.000194  0.000008 0.000149 		   0.006127    0.004080
60355.5  0.028 0.008  0.026 0.006 -0.004 0.006 		 0.000099 0.000142  0.000001 0.000116  0.000049 0.000088 -0.000011 0.000066 		   0.001774    0.003206
60356.5  0.037 0.008  0.019 0.006  0.009 0.006 		-0.001699 0.000242 -0.000568 0.000193 -0.000147 0.000143 -0.000080 0.000107 		  -0.003957   -0.003957
60357.5  0.041 0.008  0.026 0.005 -0.002 0.006 		-0.001191 0.000636  0.000473 0.000465  0.000186 0.000335 -0.000160 0.000179 		   0.004535    0.008211
60358.5  0.030 0.007  0.014 0.005  0.008 0.006 		 0.000638 0.000246  0.000841 0.000207  0.000051 0.000157 -0.000108 0.000118 		   0.001667    0.005171
60359.5  0.022 0.006  0.029 0.005  0.000 0.005 		-0.000645 0.000231 -0.000520 0.000203  0.000156 0.000154  0.000034 0.000115 		   0.007081    0.007308
60360.5  0.016 0.013  0.028 0.011  0.008 0.013 		-0.000174 0.000296  0.000184 0.000247 -0.000174 0.000182 -0.000215 0.000131 		  -0.011171   -0.014925
60361.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000992 0.000202  0.000057 0.000168 -0.000215 0.000130 -0.000213 0.000098 		-100.000000    0.000000
60362.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000878 0.000302  0.000062 0.000224  0.000328 0.000173  0.000182 0.000120 		-100.000000    0.000000
60363.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000190 0.000180 -0.000087 0.000148 -0.000155 0.000112  0.000013 0.000086 		-100.000000    0.000000
60364.5  0.000 0.000  0.000 0.000  0.000 0.000 		 0.000090 0.000456  0.000149 0.000410  0.000730 0.000315 -0.000319 0.000239 		-100.000000    0.000000
60365.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60366.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60367.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60368.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60369.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
60370.5 -0.005 0.006  0.002 0.005  0.004 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60371.5 -0.013 0.005  0.005 0.005 -0.000 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60372.5  0.013 0.006  0.013 0.004  0.002 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60373.5  0.001 0.006  0.017 0.005  0.003 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60374.5  0.021 0.006  0.012 0.005  0.006 0.005 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60375.5  0.013 0.006  0.016 0.005  0.000 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60376.5  0.007 0.006  0.014 0.005  0.007 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60377.5  0.032 0.008  0.026 0.006  0.006 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
60378.5  0.063 0.012  0.025 0.008  0.020 0.010 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
