#MJD GSC_ch1 GSC_ch1_e GSC_ch2 GSC_ch2_e GSC_ch3 GSC_ch3_e BAT_ch1 BAT_ch1_e	BAT_ch2 BAT_ch2_e BAT_ch3 BAT_ch3_e BAT_ch4 BAT_ch4_e HR HR_e
55183.5  0.019 0.006  0.017 0.004  0.019 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
55184.5  0.031 0.008  0.032 0.006  0.011 0.006 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
55185.5  0.014 0.009  0.011 0.007  0.010 0.008 		      nan      nan       nan      nan       nan      nan       nan      nan 		        nan         nan
55186.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
55187.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
55188.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
55189.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000957 0.000348  0.000161 0.000278 -0.000462 0.000218 -0.000139 0.000130 		-100.000000    0.000000
55190.5  0.019 0.012  0.010 0.008  0.014 0.011 		-0.002240 0.002693  0.001891 0.002754 -0.000600 0.002440 -0.002054 0.001725 		  -0.031951   -0.131534
55191.5  0.015 0.010  0.013 0.008  0.006 0.010 		-0.000200 0.000333  0.000060 0.000273  0.000017 0.000220 -0.000175 0.000134 		   0.001160    0.014877
55192.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
55193.5  0.000 0.000  0.000 0.000  0.000 0.000 		      nan      nan       nan      nan       nan      nan       nan      nan 		-100.000000    0.000000
55194.5  0.000 0.000  0.000 0.000  0.000 0.000 		-0.000363 0.000395  0.000034 0.000351 -0.000041 0.000285  0.000427 0.000185 		-100.000000    0.000000
55195.5  0.005 0.017 -0.017 0.009  0.001 0.013 		-0.000611 0.000247 -0.000433 0.000206  0.000035 0.000161  0.000123 0.000100 		   0.007267    0.041744
55196.5  0.015 0.005  0.016 0.004  0.008 0.005 		 0.000045 0.000151  0.000082 0.000133  0.000133 0.000106 -0.000098 0.000063 		   0.008735    0.007552
55197.5  0.020 0.005  0.018 0.004  0.009 0.005 		 0.000717 0.000373  0.000388 0.000306  0.000152 0.000236  0.000168 0.000138 		   0.007636    0.011952
55198.5  0.022 0.005  0.017 0.004  0.014 0.004 		-0.003129 0.001196  0.001655 0.001094 -0.000676 0.000925 -0.000183 0.000745 		  -0.031184   -0.043256
55199.5  0.033 0.005  0.014 0.003  0.005 0.004 		-0.000098 0.000503 -0.000017 0.000407  0.000050 0.000325  0.000376 0.000194 		   0.001516    0.009789
55200.5  0.019 0.005  0.018 0.004  0.009 0.004 		-0.000704 0.000581 -0.000712 0.000522 -0.000698 0.000408  0.000385 0.000255 		  -0.036826   -0.023351
55201.5  0.027 0.005  0.022 0.004  0.009 0.004 		 0.000273 0.000738 -0.001024 0.000711  0.000803 0.000638 -0.000703 0.000505 		   0.030004    0.024432
55202.5  0.022 0.005  0.021 0.004  0.004 0.004 		 0.000271 0.000183  0.000100 0.000155  0.000126 0.000123 -0.000086 0.000077 		   0.005711    0.005722
55203.5  0.016 0.004  0.017 0.004  0.012 0.004 		 0.000130 0.000121  0.000147 0.000106  0.000178 0.000084  0.000083 0.000055 		   0.010850    0.005890
55204.5  0.015 0.004  0.014 0.003  0.001 0.004 		 0.000626 0.000620  0.001354 0.000610  0.001010 0.000484 -0.001138 0.000369 		   0.067567    0.038003
55205.5  0.026 0.005  0.015 0.004  0.004 0.004 		 0.001364 0.000959 -0.000294 0.000965  0.000340 0.000808 -0.000607 0.000685 		   0.013267    0.031610
55206.5  0.013 0.005  0.014 0.004  0.009 0.004 		-0.001507 0.000363  0.000787 0.000297 -0.000133 0.000231 -0.000117 0.000141 		  -0.010079   -0.017875
55207.5  0.009 0.005  0.017 0.004  0.011 0.004 		 0.000710 0.001137  0.001488 0.001090  0.001957 0.000869 -0.000435 0.000477 		   0.216208    0.144669
55208.5  0.012 0.005  0.014 0.004  0.012 0.005 		 0.000910 0.000370  0.000230 0.000303  0.000501 0.000234  0.000070 0.000142 		   0.042827    0.026478
55209.5  0.016 0.006  0.008 0.004  0.001 0.006 		 0.000380 0.001759 -0.000094 0.001844  0.002312 0.001544 -0.000191 0.001133 		   0.140410    0.106741
55210.5  0.007 0.008  0.007 0.006  0.005 0.007 		 0.000025 0.001137 -0.000420 0.001037  0.000553 0.000852  0.000301 0.000528 		   0.084135    0.161604
55211.5  0.020 0.011  0.017 0.007 -0.006 0.008 		 0.002443 0.000334  0.000147 0.000304  0.000489 0.000241  0.000204 0.000162 		   0.024115    0.017464
